Id,ActivityHour,Calories,Date,Hour
1503960366,2016-04-12 00:00:00,81,2016-04-12,0
1503960366,2016-04-12 01:00:00,61,2016-04-12,1
1503960366,2016-04-12 02:00:00,59,2016-04-12,2
1503960366,2016-04-12 03:00:00,47,2016-04-12,3
1503960366,2016-04-12 04:00:00,48,2016-04-12,4
1503960366,2016-04-12 05:00:00,48,2016-04-12,5
1503960366,2016-04-12 06:00:00,48,2016-04-12,6
1503960366,2016-04-12 07:00:00,47,2016-04-12,7
1503960366,2016-04-12 08:00:00,68,2016-04-12,8
1503960366,2016-04-12 09:00:00,141,2016-04-12,9
1503960366,2016-04-12 10:00:00,99,2016-04-12,10
1503960366,2016-04-12 11:00:00,76,2016-04-12,11
1503960366,2016-04-12 12:00:00,73,2016-04-12,12
1503960366,2016-04-12 13:00:00,66,2016-04-12,13
1503960366,2016-04-12 14:00:00,110,2016-04-12,14
1503960366,2016-04-12 15:00:00,151,2016-04-12,15
1503960366,2016-04-12 16:00:00,76,2016-04-12,16
1503960366,2016-04-12 17:00:00,83,2016-04-12,17
1503960366,2016-04-12 18:00:00,124,2016-04-12,18
1503960366,2016-04-12 19:00:00,104,2016-04-12,19
1503960366,2016-04-12 20:00:00,132,2016-04-12,20
1503960366,2016-04-12 21:00:00,100,2016-04-12,21
1503960366,2016-04-12 22:00:00,65,2016-04-12,22
1503960366,2016-04-12 23:00:00,81,2016-04-12,23
1503960366,2016-04-13 00:00:00,69,2016-04-13,0
1503960366,2016-04-13 01:00:00,48,2016-04-13,1
1503960366,2016-04-13 02:00:00,47,2016-04-13,2
1503960366,2016-04-13 03:00:00,53,2016-04-13,3
1503960366,2016-04-13 04:00:00,47,2016-04-13,4
1503960366,2016-04-13 05:00:00,47,2016-04-13,5
1503960366,2016-04-13 06:00:00,48,2016-04-13,6
1503960366,2016-04-13 07:00:00,59,2016-04-13,7
1503960366,2016-04-13 08:00:00,69,2016-04-13,8
1503960366,2016-04-13 09:00:00,136,2016-04-13,9
1503960366,2016-04-13 10:00:00,77,2016-04-13,10
1503960366,2016-04-13 11:00:00,84,2016-04-13,11
1503960366,2016-04-13 12:00:00,82,2016-04-13,12
1503960366,2016-04-13 13:00:00,72,2016-04-13,13
1503960366,2016-04-13 14:00:00,128,2016-04-13,14
1503960366,2016-04-13 15:00:00,79,2016-04-13,15
1503960366,2016-04-13 16:00:00,71,2016-04-13,16
1503960366,2016-04-13 17:00:00,87,2016-04-13,17
1503960366,2016-04-13 18:00:00,118,2016-04-13,18
1503960366,2016-04-13 19:00:00,73,2016-04-13,19
